,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,昭和８,昭和９,昭和10,昭和11,昭和12,昭和13,昭和14,昭和15,昭和16,昭和17,昭和18
,ニシン,13,０,-,-,*0,-,-,●●●,-,-,１
,イワシ,"3,456","2,575",647,*9,*9,*8,*8,●二●,*0,162,158
,サノく,９,５,73,-,-,-,78,●●●,90,850,"9,718"
,マクロ,15,-,一,０,-,-,０,●●●,-,"1,077",-
,タラ,52,103,154,147,92,104,208,●曾●,４,０,１
,スケソウダラ,22,23,63,-,-,-,40,●・●,-,-,"2,402"
,フカ（サメ）,560,220,316,-,271,544,226,●●●,６,25,139
,タイ,-,０,-,-,-,-,-,●●●,-,-,-
,カレイ,167,143,138,110,115,329,250,●●●,30,33,705
,ヒラメ,42,22,21,一,-,-,-,●●●,-,-,-
,トビウオ,-,-,２,-,-,-,-,●●●,-,-,-
,ボラ,０,-,-,-,-,-,-,●●●,-,-,-
,サケ,０,-,-,*0,*0,*0,-,●●●,-,18,０
,マス（アメマス含）,４,０,０,*0,*0,*0,＊0,●曾●,*0,55,６
,ワカサギ（チカ）,４,-,０,-,-,-,一,●４●,-,-,-
,カスベ,１,１,-,-,-,-,-,●●●,-,-,-
,ホヅケ,０,０,-,-,-,-,-,●●●,３,15,"1,459"
,オヒョウ,-,-,45,-,-,-,-,●●●,-,-,-
,メヌキダイ,78,115,64,-,-,-,-,●●●,一,-,-
,アブラコ,１,７,10,-,-,-,-,●●●,-,-,-
,ソイ,５,２,２,-,-,-,-,■Ｉ●,-,-,~
,コウナゴ,-,-,４,-,-,-,-,●●●,-,一,-
,玉筋魚,-,-,-,-,-,-,-,●●●,50,-,-
,その他,114,５,110,-,-,-,-,●●●,-,-,一
,魚類計,"4,543","3,221","1,649",257,478,977,802,,183,"2,235","14,589"
,アワビ,８,30,26,-,-,-,-,●●●,-,-,-
,カキ,０,０,０,-,-,-,-,●●●,-,-,-
,アカガイ,10,ｎ,15,-,-,-,-,●●●,-,-,一
,アサリ,０,１,11,-,-,-,-,,-,-,-
,ホタテ,０,０,一,-,-,-,-,●●■,-,-,-
,その他,39,19,７,-,-,-,-,●●●,一,-,-
,貝類計,57,61,59,-,-,-,-,●●●,-,-,-
,イヵ,"3,202","1,027",234,653,695,862,"6,927",●●●,603,"3,199","1,249"
,タコ,18,10,96,29,-,16,16,●●●,13,13,-
,ナマコ,０,-,-,-,-,-,-,■●●,-,-,-
,その他,５,１,０,-,-,-,-,●●●,-,-,-
,その他水産動物計,"3,225","1,038",330,682,695,878,"6,943",●●●,616,"3,212","1,249"
,コソブ,70,148,36,17,27,５,23,●●●,ｎ,９,403
,アマノリ,０,-,２,-,-,-,-,●●●,-,-,-
,ワカメ,６,７,６,-,-,-,-,,-,-,-
,テングサ,８,３,６,-,-,-,-,●●●,-,-,-
,フノリ,-,５,２,-,-,-,-,・●●,-,-,-
,ギソナソソウ,０,13,５,-,-,-,-,●●慟,４,-,-
,その他,10,25,４,-,-,-,-,,-,-,-
,藻類計,94,201,61,17,27,５,23,・●●,15,９,403
