,,戸　　　　数,,,人　　　　　口,,,耕地面積　（単位：町）,,
,,自　作,小　作,計,自　作,小　作,計,田,畑,計
,明治16,24,●●●,24,44,●●●,44,●●●,26.3,26.3
,19,●●●,●●■,●●●,●●●,・・●,・●●,●●●,26.7,26.7
,20,●●●,●●●,●●●,●●●,●●●,●●嶇,●●●,●●●,●凖●
,21,●・●,●●●,●●●,●●●,●●●,●●●,暑●曇,26.7,26.7
,22,●●●,●●●,,●●●,●●●,●●●,●●●,14.7,14.7
,23,●・●,●●●●,●●●,●●●,●●●,●●●,●・●,13.3,13.3
,24,●●・,●●●,●●●,●●●,●●●,●●●,●●二,13.3,13.3
,25,●●●,●●●,・●●,●●●,●●●,●●●,●●●,13.3,13.3
,26,●●・,●●●,●●●,●●●,●●・,●●●,●●●,13.3,13.3
,27,●●・,●●●,●●●,●●●,●●●,●●●,●■●,13.3,13.3
,28,●●●,●●●,●●●,●●●,●●●,●●●,●・●,13.3,13.3
,29,●●●,●●●,●●■,●●●,●●●,●●●,●●●,13.3,13.3
,30,●●●,●●●,●●●,卜●●,●●●,●●●,毳●●,13.9,13.9
,31,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●畆
,32,●●・,●●●,●●●,●●●,●●●,●●●,●●●,●●●,
,33,●●●,●●●,●●φ,●●●,●●●,●●痼,●●●,●●●,●●●
,34,●櫑●,●●●,●●●,●●●,●●●,●●●,●●●,●●■,●●●
,35,●●●,●●●,●ａ●,●●●,●●●,●●●,●●●,●●●,●●●
,36,50,136,186,332,537,869,10.4,553.0,563.4
,37,53,147,200,843,541,"1,384",10.1,568.4,578.5
,38,50,140,190,879,579,"1,458",10.1,568.7,578.8
,39,145,172,317,"1,019",857,"1,876",10.1,587.4,597.5
,40,137,191,328,"1,075",890,"1,965",10.1,587.6,597.7
,41,129,190,319,911,864,"1,775",10.1,587.6,597.7
