,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,徴　　兵　　人　　員,,
,合　　計,陸　軍,海　軍,合　計
,786,●●●,●●●,121
,●●●,●●●,●●●,●●●
,●・●,●・●,●●●,●●●
,●●●,●●●,●●●,●●●
,373,●■●,・●●,●●●
,奉●●,●●●,●●●,
,●●●,●●●,,190
,二●●,●●奇,●●●,●●●
,・●●,●●●,●●●,●●●
,●●●,●●●,,●■慟
,●●●,74,２,76
,●●●,114,８,122
,●●毎,●●●,●●●,●●●
,●●●,●●●,●●●,申●二
,●●●,●●●,●■●,●●●
,"9,404",123,-,123
,"9,404",176,●●●,176
,"10,816",197,参●●,197
,"10,582",257,●●●,257
,"10,100",369,二●●,369
,"2,419",,●●●,407
,"2,124",●●●,晶●●,310
,"2,826",,●●●,360
,"3,077",●●●,●●●,311
,"3,614",●●●,●●●,353
,●●●,145,５,150
,●●●,166,１,167
,●●●,●■●,●●●,●●●
,●嘩啝,191,15,204
,●●●,152,23,175
,い●●,208,24,232
,,178,●●●,●●●
,●●●,●●●,●●●,●●●
,儚●・,●●●,●●●,●■襴
,●●●,●■●,,●●二
,●●●,249,３,252
,●●●,202,●●●,●●●
,●●●,207,４,211
,●●●,467,15,482
,●●●,529,６,535
,●卜●,545,10,555
,■●■,532,８,540
,●●●,537,11,548
,●●●,527,９,536
,●●●,546,４,550
,●●●,●●●,●●●,●●●
,,"1,795",11,"1,806"
,●●●,●●●,●●●,●●●
,●●●,,●●●,●●●
,,315,６,321
,●●●,●●●,●●●,■●襴
,●●●,●●●,●●●,
,,●●●,●●●,●●●
,●■●,,●●●,●●●
,●慟●,"2,061",12,"2,073"
,●●●,"1,926",37,"1,963"
